1,1,4,4,12,6,7,12,6,9,4,0,11,7,9,1,7,7,10,12,3,3,11,2,0,0,1,8,5,4,7,
4,1,4,2,7,6,7,2,6,12,3,0,11,4,8,1,5,7,2,9,3,3,11,10,0,0,1,8,5,4,7,
4,9,5,4,12,8,7,2,6,9,4,0,11,4,8,1,5,7,10,12,10,6,11,2,9,0,1,8,5,4,7,
1,10,5,2,12,8,7,2,6,12,4,0,11,7,8,1,5,7,10,12,3,6,11,12,0,3,1,3,1,9,7,
9,1,4,4,0,6,7,2,6,0,4,0,11,7,9,1,12,7,10,1,8,6,2,2,11,9,9,3,5,4,7,
4,1,5,4,12,6,4,12,6,12,3,0,11,4,8,1,5,1,10,12,3,8,11,2,11,0,1,8,1,4,7,
1,1,5,4,0,8,3,2,6,12,4,0,11,4,8,1,5,7,2,4,3,6,11,2,0,9,1,8,5,4,7,
4,12,5,4,12,8,7,2,6,12,3,9,11,7,8,1,5,7,10,12,10,6,11,2,0,0,1,8,5,4,7,
9,10,5,4,12,6,4,2,6,9,1,0,11,7,8,1,5,1,2,12,3,3,11,2,0,9,1,8,5,4,7,
1,1,4,2,0,8,7,12,6,0,4,0,11,7,8,1,12,7,10,1,3,6,2,12,11,0,1,8,5,4,7,
1,12,5,12,12,8,7,2,6,9,3,0,11,10,8,3,5,7,10,9,10,6,2,2,11,3,5,8,5,4,7,
1,10,5,4,7,8,12,2,6,9,3,0,11,4,8,1,5,7,10,12,3,6,11,2,0,9,1,8,5,4,7,
4,10,5,9,12,8,4,2,6,12,3,0,11,10,8,1,5,7,10,4,10,8,11,12,0,0,1,8,5,4,9,
4,1,5,12,0,8,5,12,6,12,3,3,5,4,8,7,5,1,9,12,10,6,11,2,12,9,9,8,5,4,7,
9,1,5,2,12,6,5,2,6,9,3,0,11,10,9,1,7,7,10,12,8,3,2,2,0,0,0,8,5,6,7,
4,10,5,4,0,8,7,2,6,12,4,0,11,10,8,7,5,7,10,12,9,6,11,2,11,9,1,8,5,4,7,
1,10,5,2,0,6,7,12,6,12,9,0,0,7,8,1,5,7,10,9,10,8,0,2,11,1,9,8,5,4,7,
