it		info		fitness
551		[1, 10, 5, 11, 12, 2, 4, 8, 6, 9, 3, 0, 11, 7, 6, 4, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8168093343726056
894		[1, 10, 5, 11, 12, 2, 4, 8, 6, 9, 3, 0, 11, 7, 6, 1, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8170083273921234
1484		[1, 10, 5, 11, 12, 2, 4, 8, 6, 9, 3, 0, 11, 7, 2, 1, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8171280663786629
1837		[1, 10, 5, 11, 12, 2, 4, 8, 6, 9, 3, 0, 11, 7, 8, 1, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8171378216398996
2086		[1, 10, 5, 11, 12, 2, 7, 8, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8172794602151737
2906		[1, 10, 5, 4, 12, 2, 7, 8, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 3, 12, 6, 4, 2, 10, 9, 1, 8, 5, 11, 0]		0.8173520533199627
4619		[1, 10, 5, 4, 12, 2, 7, 8, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 3, 12, 6, 11, 2, 10, 9, 1, 8, 5, 4, 0]		0.8173695764935529
4939		[1, 10, 5, 4, 12, 8, 7, 2, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 3, 12, 6, 11, 2, 10, 9, 1, 8, 5, 4, 0]		0.8174195030907365
10842		[1, 10, 5, 4, 12, 8, 7, 2, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 3, 12, 6, 11, 2, 0, 9, 1, 8, 5, 4, 7]		0.8175996526550255
20418		[1, 10, 5, 4, 12, 8, 7, 2, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 12, 3, 6, 11, 2, 0, 9, 1, 8, 5, 4, 7]		0.8176154262736995
20736		[1, 10, 5, 4, 7, 8, 12, 2, 6, 9, 3, 0, 11, 4, 8, 1, 5, 7, 10, 12, 3, 6, 11, 2, 0, 9, 1, 8, 5, 4, 7]		0.8176250415606884
